brand,category,price,sale_price,rating,review_count,description,website,date_collected,attributes,brand_type,on_sale,discount_pct,price_category
The Good Fill,laundry,37.3,29.34,4.2,,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,21.34,premium ($25-50)
Seventh Generation,bath,26.01,26.01,4.4,65.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Method,bath,27.95,19.81,4.2,374.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,29.12,premium ($25-50)
Package Free,cleaning,16.34,14.12,4.1,253.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,13.59,mid ($10-25)
Package Free,laundry,37.72,31.07,3.9,227.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,17.63,premium ($25-50)
Attitude,cleaning,8.89,6.46,4.6,61.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,27.33,budget (<$10)
Who Gives A Crap,cleaning,20.82,20.82,4.3,357.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Seventh Generation,bath,17.93,13.34,4.0,191.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,25.6,mid ($10-25)
Bambo Nature,bath,11.73,9.39,4.2,52.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,19.95,mid ($10-25)
Mrs. Meyer's,laundry,27.04,27.04,4.3,162.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,premium ($25-50)
The Good Fill,kitchen,17.38,17.38,3.9,332.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
EarthHero,laundry,31.01,31.01,4.8,70.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Blueland,cleaning,16.33,16.33,4.2,119.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Well Earth Goods,cleaning,21.58,16.34,4.5,382.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,24.28,mid ($10-25)
Who Gives A Crap,bath,26.03,21.42,3.9,219.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,17.71,premium ($25-50)
The Good Fill,cleaning,22.14,22.14,4.5,410.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Method,kitchen,20.84,17.94,4.7,370.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,13.92,mid ($10-25)
Well Earth Goods,cleaning,18.48,13.04,4.0,196.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,29.44,mid ($10-25)
Package Free,bath,6.91,5.29,3.8,379.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,23.44,budget (<$10)
Mrs. Meyer's,cleaning,11.44,11.44,4.1,342.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Package Free,cleaning,15.69,15.69,3.8,313.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EcoRoots,bath,9.32,9.32,4.6,,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Who Gives A Crap,cleaning,14.21,10.53,4.6,232.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,25.9,mid ($10-25)
Public Goods,kitchen,16.68,16.68,,476.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Who Gives A Crap,laundry,32.44,32.44,4.6,404.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Mrs. Meyer's,bath,15.52,,4.5,276.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Package Free,kitchen,28.5,,,420.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Grove Collaborative,cleaning,7.26,7.26,3.9,277.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
EcoRoots,kitchen,9.53,9.53,4.2,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Mrs. Meyer's,laundry,23.15,20.31,4.8,228.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,12.27,mid ($10-25)
The Good Fill,laundry,30.35,,,127.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Public Goods,cleaning,22.0,16.27,4.3,452.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,26.05,mid ($10-25)
Method,laundry,18.11,18.11,,,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Grove Collaborative,cleaning,8.23,8.23,4.9,230.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Public Goods,bath,6.47,5.31,3.8,68.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,17.93,budget (<$10)
EarthHero,kitchen,25.41,25.41,3.9,487.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Grove Collaborative,cleaning,20.74,15.21,3.9,268.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,26.66,mid ($10-25)
Mrs. Meyer's,cleaning,12.18,10.31,4.3,33.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,15.35,mid ($10-25)
The Good Fill,cleaning,21.33,21.33,4.5,15.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Blueland,bath,27.01,18.91,4.2,487.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,29.99,premium ($25-50)
Seventh Generation,laundry,31.43,31.43,4.2,,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Well Earth Goods,laundry,15.71,15.71,3.9,79.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Earth Breeze,laundry,15.84,12.41,4.0,63.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,21.65,mid ($10-25)
Seventh Generation,cleaning,16.65,16.65,4.7,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Public Goods,bath,26.18,,4.3,375.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Method,cleaning,17.23,14.4,4.5,460.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,16.42,mid ($10-25)
Grove Collaborative,cleaning,7.82,7.82,4.6,363.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Seventh Generation,laundry,39.98,39.98,,6.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
EcoRoots,laundry,10.51,10.51,4.7,209.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
The Good Fill,bath,18.29,18.29,4.5,,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Mrs. Meyer's,bath,23.41,23.41,4.4,336.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Package Free,cleaning,15.51,15.51,4.3,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
ECOS,bath,27.09,23.39,4.5,265.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,True,13.66,premium ($25-50)
Attitude,kitchen,24.51,24.51,4.3,315.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Well Earth Goods,kitchen,27.49,23.09,4.5,440.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,16.01,premium ($25-50)
Earth Breeze,bath,13.66,13.66,3.9,132.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
ECOS,laundry,26.4,26.4,,,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,False,0.0,premium ($25-50)
Blueland,laundry,33.66,33.66,4.3,51.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Method,kitchen,16.2,16.2,4.0,471.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Blueland,laundry,12.6,12.6,4.7,480.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Method,laundry,20.9,15.62,,473.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,25.26,mid ($10-25)
Mrs. Meyer's,laundry,14.91,11.32,4.1,21.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,24.08,mid ($10-25)
Grove Collaborative,kitchen,25.8,25.8,4.3,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Attitude,laundry,14.32,10.58,4.8,194.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,26.12,mid ($10-25)
Seventh Generation,bath,27.11,27.11,4.3,355.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Mrs. Meyer's,laundry,18.03,18.03,4.0,312.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Earth Breeze,kitchen,15.09,,4.5,29.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Attitude,cleaning,21.5,21.5,4.1,82.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Mrs. Meyer's,cleaning,19.41,14.29,3.8,344.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,26.38,mid ($10-25)
Well Earth Goods,cleaning,6.65,6.65,4.2,111.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,budget (<$10)
EcoRoots,laundry,26.54,26.54,4.6,468.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Mrs. Meyer's,bath,7.39,7.39,4.9,285.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,budget (<$10)
Earth Breeze,kitchen,34.0,24.52,,463.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,27.88,premium ($25-50)
Who Gives A Crap,cleaning,19.21,15.43,4.2,235.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,19.68,mid ($10-25)
Well Earth Goods,kitchen,19.41,19.41,4.2,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Package Free,kitchen,17.65,17.65,4.0,110.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EarthHero,bath,17.34,15.32,4.3,321.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,11.65,mid ($10-25)
Method,cleaning,17.96,17.96,3.9,475.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
EcoRoots,cleaning,10.16,10.16,3.9,340.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Bambo Nature,cleaning,15.06,15.06,4.2,313.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Who Gives A Crap,kitchen,22.03,22.03,4.7,293.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
ECOS,laundry,20.18,16.41,4.7,108.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,True,18.68,mid ($10-25)
The Good Fill,laundry,14.6,14.6,4.4,247.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Grove Collaborative,cleaning,22.13,22.13,,34.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Package Free,laundry,32.56,23.02,4.4,33.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,29.3,premium ($25-50)
Grove Collaborative,cleaning,8.4,,4.7,451.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Attitude,bath,10.5,7.39,4.6,426.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,29.62,mid ($10-25)
Bambo Nature,kitchen,14.02,10.36,,455.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,26.11,mid ($10-25)
EcoRoots,laundry,24.07,24.07,4.2,116.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Earth Breeze,cleaning,7.77,6.99,3.9,485.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,10.04,budget (<$10)
Grove Collaborative,laundry,29.08,29.08,4.7,7.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
EarthHero,laundry,23.4,23.4,3.9,14.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Who Gives A Crap,laundry,11.34,,4.4,170.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Bambo Nature,bath,27.74,23.09,4.5,201.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,16.76,premium ($25-50)
Method,bath,16.02,16.02,3.9,56.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Method,bath,9.27,7.15,4.6,365.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,22.87,budget (<$10)
Bambo Nature,cleaning,13.36,,4.9,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Seventh Generation,laundry,33.59,33.59,4.0,145.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Attitude,kitchen,29.1,25.46,4.7,225.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,12.51,premium ($25-50)
